"score","prior_percent_correct","prior_prob_count","hints"
1,0.601845467356795,29,0
1,0.55868646510649,0,2
1,0.417040626635533,20,8
1,0.610648088443667,0,3
1,0.520815659331786,0,52
1,0.451829345614717,0,5
1,0.518354426880802,0,1
1,0.304797958786302,29,0
1,0.493556972331594,0,35
1,0.456391420311137,18,0
1,0.569916889438259,0,0
1,0.54293059190084,0,5
1,0.549931043986218,0,0
1,0.369131839886483,146,0
1,0.584873339769215,0,0
1,0.640338500804082,6,5
1,0.526483264689755,0,4
1,0.375013558657807,0,0
1,0.573548645512441,394,0
1,0.278585896201359,39,1
1,0.598372040660112,398,1
1,0.385190199773677,1159,0
1,0.397296323765667,0,0
1,0.679716508590103,0,0
1,0.580008468548907,529,52
1,0.509298353003168,0,5
1,0.633799680755386,73,1
1,0.495400098907862,398,6
1,0.572425104037346,0,36
1,0.541200079711569,0,0
1,0.596593644870614,398,0
1,0.436741876019581,1386,0
1,0.329019250305743,0,0
1,0.512430835772997,982,1
1,0.437794028720454,403,18
1,0.445856785406599,0,14
1,0.345936452083708,87,0
1,0.588246726844331,0,5
1,0.499556050240392,87,0
1,0.481591919312276,0,26
1,0.509865049765347,0,0
1,0.396819969583355,0,4
1,0.387405790487755,399,0
1,0.477791488443208,0,0
1,0.417484900165398,0,0
1,0.586598984967651,1226,0
1,0.59443068573023,0,1
1,0.46994070389624,98,0
1,0.511935214192964,0,0
1,0.509603071784267,0,0
1,0.528698945229862,391,15
1,0.549585874470025,0,0
1,0.522912568222037,143,23
1,0.409280002195119,1,0
1,0.481650567203801,0,0
1,0.373087583060276,0,78
1,0.510198937433688,69,0
1,0.532207489057877,0,0
1,0.587533576674595,0,0
1,0.518356706624547,0,0
1,0.493988328330484,0,0
1,0.489849776652509,0,0
1,0.560128656433593,0,0
1,0.573901023081689,1415,7
1,0.461222536476308,0,0
1,0.591523261905815,398,2
1,0.593326921974418,132,5
1,0.50105328752741,561,0
1,0.563774727040331,0,0
1,0.506296763568456,3,6
1,0.608848086756289,0,0
1,0.521461087133395,333,1
1,0.544463459944967,391,2
1,0.50328742534383,0,0
1,0.530244811606054,69,0
1,0.5500911842638,0,0
1,0.693386908814984,112,1
1,0.585322373007347,29,0
1,0.392110567259594,109,0
1,0.474983189430644,0,0
1,0.406149255970378,399,5
1,0.695146626011933,407,0
1,0.454184666438151,0,16
1,0.607433445166019,29,0
1,0.436599821093788,123,2
1,0.536220266234481,0,0
1,0.443782232659052,18,11
1,0.627041112462093,391,0
1,0.409820284820274,235,22
1,0.350386769694297,0,0
1,0.504704392763355,90,0
1,0.525195758756515,93,0
1,0.437682512513728,0,9
1,0.470693093698608,1192,6
1,0.609828752194616,92,0
1,0.533370265383213,102,0
1,0.495364016809787,0,0
1,0.491641453423266,0,15
1,0.555013283723512,0,5
1,0.48151522485278,0,0
1,0.545083375149943,366,0
1,0.482712382408499,74,0
1,0.578168838367801,29,16
1,0.471167170565653,0,0
1,0.583678141697455,45,0
1,0.456844912253311,0,76
1,0.447453751856231,6,0
1,0.579866842424527,0,0
1,0.624796081408041,1415,10
1,0.407312119365283,90,23
1,0.401332010979039,0,23
1,0.320478701112944,403,0
1,0.43695693269795,84,0
1,0.355301056689022,0,0
1,0.733790858677136,0,9
1,0.655547810166941,0,0
1,0.441648297848536,425,0
1,0.394555759414024,397,52
1,0.613784629820124,399,0
1,0.423661927713659,0,0
1,0.524335739379253,103,0
1,0.542116028941712,398,0
1,0.374750153357273,0,0
